instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
80,4,0.0,0.0,1.0,5500,5460
78,0,1.0,1.0,0.0,5500,4674
78,1,0.8,1.0,0.0,5500,4553
78,3,0.2,0.18993269375415509,0.8100673062458449,5500,5399
78,2,0.5,0.7475871191388432,0.2524128808611567,5500,5312
81,4,0.0,0.0,1.0,5500,5044
79,1,0.8,1.0,0.0,5500,4828
79,0,1.0,1.0,0.0,5500,5147
82,4,0.0,0.0,1.0,5500,5058
79,3,0.2,0.14951482518763468,0.8504851748123653,5500,5454
79,2,0.5,0.7332775805102755,0.2667224194897246,5500,5114
80,0,1.0,1.0,0.0,5500,3090
80,3,0.2,0.16183454659627416,0.8381654534037258,5500,5498
80,1,0.8,0.9990915161233176,0.0009084838766823986,5500,5356
80,2,0.5,0.6750118457501093,0.32498815424989064,5500,4157
81,0,1.0,1.0,0.0,5500,4322
83,4,0.0,0.0,1.0,5500,5202
81,1,0.8,1.0,0.0,5500,2881
81,3,0.2,0.15241979673914166,0.8475802032608584,5500,5498
81,2,0.5,0.7174081851138813,0.28259181488611873,5500,4597
82,3,0.2,0.16092927110492475,0.8390707288950753,5500,5488
84,4,0.0,0.0,1.0,5500,5488
82,0,1.0,1.0,0.0,5500,2594
82,1,0.8,1.0,0.0,5500,5246
82,2,0.5,0.7203951014075142,0.2796048985924859,5500,5059
83,0,1.0,1.0,0.0,5500,5323
85,4,0.0,0.0,1.0,5500,4957
83,1,0.8,1.0,0.0,5500,5466
83,3,0.2,0.17054662677705884,0.8294533732229412,5500,5466
83,2,0.5,0.7805045934709386,0.21949540652906138,5500,4102
86,4,0.0,0.0,1.0,5500,4957
84,0,1.0,1.0,0.0,5500,3882
84,3,0.2,0.15083210117343568,0.8491678988265643,5500,5234
84,2,0.5,0.6259418680421076,0.3740581319578924,5500,4146
84,1,0.8,1.0,0.0,5500,3937
85,0,1.0,1.0,0.0,5500,4014
85,1,0.8,1.0,0.0,5500,3816
85,3,0.2,0.15185273051238435,0.8481472694876157,5500,5091
87,4,0.0,0.0,1.0,5500,5356
85,2,0.5,0.6944499818774919,0.30555001812250815,5500,4091
86,0,1.0,1.0,0.0,5500,5323
86,3,0.2,0.14104328955252887,0.8589567104474711,5500,5299
88,4,0.0,0.0,1.0,5500,4992
86,1,0.8,1.0,0.0,5500,5422
86,2,0.5,0.6942897125773533,0.30571028742264666,5500,3464
87,0,1.0,1.0,0.0,5500,5279
87,1,0.8,1.0,0.0,5500,4861
87,2,0.5,0.7429931302464373,0.2570068697535627,5500,5114
87,3,0.2,0.17500108888706065,0.8249989111129393,5500,5301
89,4,0.0,0.0,1.0,5500,5443
88,3,0.2,0.158814618139383,0.841185381860617,5500,4769
90,4,0.0,0.0,1.0,5500,4955
88,0,1.0,1.0,0.0,5500,5323
88,1,0.8,1.0,0.0,5500,2287
88,2,0.5,0.7681645787840478,0.2318354212159522,5500,5136
91,4,0.0,0.0,1.0,5500,4913
89,0,1.0,1.0,0.0,5500,5268
89,1,0.8,1.0,0.0,5500,4971
89,2,0.5,0.5781725958291409,0.4218274041708591,5500,4322
89,3,0.2,0.14541350877813067,0.8545864912218694,5500,5058
92,4,0.0,0.0,1.0,5500,5026
90,1,0.8,1.0,0.0,5500,4641
90,0,1.0,1.0,0.0,5500,3222
90,3,0.2,0.14088455944270076,0.8591154405572993,5500,5366
90,2,0.5,0.6809632704276706,0.31903672957232937,5500,4399
93,4,0.0,0.0,1.0,5500,5476
91,0,1.0,1.0,0.0,5500,5488
91,3,0.2,0.1595586990752376,0.8404413009247624,5500,4287
91,1,0.8,1.0,0.0,5500,4564
91,2,0.5,0.7353243843800087,0.26467561561999126,5500,3893
94,4,0.0,0.0,1.0,5500,5220
92,0,1.0,1.0,0.0,5500,3970
92,3,0.2,0.18481528687208726,0.8151847131279127,5500,5245
92,1,0.8,1.0,0.0,5500,3959
92,2,0.5,0.7464775232435541,0.2535224767564459,5500,4685
93,0,1.0,1.0,0.0,5500,4564
93,3,0.2,0.12658121010708445,0.8734187898929155,5500,5498
93,1,0.8,1.0,0.0,5500,3981
95,4,0.0,0.0,1.0,5500,5257
93,2,0.5,0.7346763212130134,0.2653236787869866,5500,3629
96,4,0.0,0.0,1.0,5500,4669
94,0,1.0,1.0,0.0,5500,4157
94,1,0.8,1.0,0.0,5500,4564
94,3,0.2,0.15226149791038193,0.8477385020896181,5500,5354
94,2,0.5,0.6897863423078675,0.3102136576921325,5500,5389
97,4,0.0,0.0,1.0,5500,5496
95,0,1.0,1.0,0.0,5500,4806
95,3,0.2,0.13503132263881507,0.864968677361185,5500,5268
98,4,0.0,0.0,1.0,5500,5364
95,1,0.8,1.0,0.0,5500,5235
96,3,0.2,0.13383624429631596,0.8661637557036841,5500,5433
95,2,0.5,0.7709689774032937,0.22903102259670624,5500,3233
96,0,1.0,1.0,0.0,5500,4003
96,1,0.8,1.0,0.0,5500,4058
96,2,0.5,0.7424091324788485,0.2575908675211515,5500,3794
97,0,1.0,1.0,0.0,5500,4135
99,4,0.0,0.0,1.0,5500,5190
97,1,0.8,1.0,0.0,5500,5235
97,2,0.5,0.672512078178757,0.327487921821243,5500,5312
97,3,0.2,0.1526671795537882,0.8473328204462118,5500,5453
98,3,0.2,0.1380478140272091,0.8619521859727909,5500,4971
98,0,1.0,1.0,0.0,5500,4828
98,1,0.8,1.0,0.0,5500,4245
99,0,1.0,1.0,0.0,5500,5312
98,2,0.5,0.6943458858386524,0.3056541141613475,5500,5378
99,3,0.2,0.13543847980503926,0.8645615201949608,5500,5433
99,1,0.8,1.0,0.0,5500,4278
99,2,0.5,0.711180336380156,0.28881966361984396,5500,4861
